Iloko,English
pangersonal,personal
panagtagikukua,possessive
siak,i
sika,you
dakami,we
dakayo,you
isuda,they
isuna,he
datayo,we
ko,my
tatangko,my father
lapismo,your pencil
mamangmo,your older sister
na,his
tamborna,his drum
you,your
tarakenyo,your pet
agpinta,to pain
abisbisekleta,riding a bike
agsipsipilyo,brushing teeth
uminom,to drink
gatas,milk
umabak,to win
sala,dance
pabuya,performance
balay,house
ay-ayam,toy
mula,plant
kabailo,playmate
pamilia,family
sago,tapioca pearl
salog,floor
goto,porridge
agikit,to laugh
masikog,pregnant
gita,creamy
ina,mother
alog,river
gasat,luck
kagat,bite
mapa,map
lokasion,location
distansia,distance
direksion,direction
sango,front
likod,back
kannigid,left
kannawan,right
laud,west
daya,east
amianan,north
abagatan,south
ngato,top
baba,bottom
abay,beside
nagbaetan,between
silid-pagadalan,classroom
ridaw,door
tawa,window
lamisaan,table
tugaw,chair
pisara,blackboard
kabinet,cabinet
orasan,clock
silaw,light
kantina,canteen
pagay-ayaman,play area
uno,one
mulagat,to open eyes
salun-at,health
punas,to wipe
tukak,frog
kimmut,last child
utong,string beans
gugot,gums
lanut,rope
uggot,stalk
bukot,back of body
igalut,to tie
ugsa,deer
sugot,to plant
kumpletuennak.,complete me.
agkaaweng,rhyming
pungto,ending
uni,sound
daniw,poem
kanta,song
iyebkas,to pronounce
kaspangarigan,for example
marunggay,malunggay tree
bantay,mountain
pagal-alaan,to get from
nanang,mother
aglalo,specially
iti,the
masagpawan,cooked with
ikan,to put
digo,soup
makapabang-ar,can be refreshing
tinuno,grilled
payong,umbrella
payongko,my umbrella
paglinongko,my shlter
agtudo,to rain
nangisit,blackboard
ginatangko,i bought
usarek,i'll use it
aginit,to be sunny
tasa,cup
suka,vinegar
apoy,fire
okoy,shrimp fritter
saka,foot
lalaki,male
init,heat
mangan,to eat
litson,roasted pig
galon,gallon
talon,field
maleta,suitcase
kalesa,horse-drawn carriage
lakay,old man
sako,sack
oso,bear
siko,elbow
mansanas,apple
lamok,mosquito
lastiko,rubber band
kinnit,pinch
sagaysay,comb
lakasa,box
dalan,road
danum,water
daga,soil
tudo,rain
madi,no
agdan,stairs
igid,egde
adu,many
tukad,step
guyod,to pull
umel,mute
ellek,laugh
sainnek,hiccup
isilponak,connect me
birok-biroken,find it
panunuten,think about it
aspanunotka,reflect
pakasaritaan,story
gapu,cause
epekto,effect
problema,problem
solusion,solution
istoria,story
situasion,situation
natarusan,interpreted
gapu,because
isunga,therefore
daras,immediately
agtartaray,running
nasugat,got wounded
aggurigor,has a fever
nakabulos,escaped
agsakit,sick
naglayos,flooded
naisina,got separated
mabisinak,i'm hungry
naragsakak,i'm happy
kinagatak,i bit
dinanog,punched
nabasa,got wet
natinnag,fell down
pinagungtan,was scolded
timmakder,stood up
nabuong,broke
nagsangit,cried
natuduan,got wet from rain
kinamatna,ran after
ingalot,tied
sinabat,met
kaklase,classmate
pantasa,sharpener
pasyar,stroll
parke,park
tumeng,knee
kalding,goat
taltalon,field
akasya,acacia tree
poon,tree trunk
apong,grandparent
lugaw,porridge
agas,medicine
tiendaan,market
ginatang,purchases
awit,carry
padi,priest
ulep,cloud
puso,heart
tiempo,weather
kepkep,to embrace
puto,rice pudding
pagay,rice plant
tapa,dried meat
sultip,whistle
pustiso,denture
lapis,pencil
sepsep,to sip
pusipos,pivot
pulis,police
mapan,will go
iturongnak,guide me
impormasion,information
ladawan,picture
