Iloko,English
kaugalian ti pamilia,family traits
siak ken ti kaugalian,myself and traits
iparis ti patang iti ladawanna babaan ti uged.,match the sentence to its picture below with a line.
kumpletuen ti sarita babaen ti panangisurat ti umno a panagtagikua a pangsandi-a-nagan iti kahon.,complete the sentence by writing the correct possessive pronoun from the box.
pilien ti pangsandi-a-nagan a mangbukel iti patang. timbukelan ti letra ti umno a sungbat.,choose the pronoun that completes the sentence. circle the letter of the correct answer.
adalen ti ladawan. isurat ti umno a pangsandi-a-nagan a mangbukel iti patang.,study the picture. write the correct pronoun that completes the sentence.
ugedan ti pangsandi-a-nagan iti tunggal patang.,underline the pronoun in every sentence.
pangsandi a nagan,pronoun
siak ni cardo.,i am cardo.
siak ket agdigdigos nga inaldaw.,i take a shower daily.
sika ni alyana.,you are alyana.
sika ti agwalis.,you are the one who will sweep.
dakami ti mangsala ti surtido norte.,we will dance the surtido norte.
dakami ti nagmula.,we are the ones who planted.
dakayo dagiti ubbing a nalalaing nga agsala.,you are the children who are good at dancing.
isuna ni flora a gayyemko.,"she is flora, my friend."
nagaget isuna nga agsagad.,he is hardworking at scrubbing.
datayo amin ti mangsala ti rabong.,all of us will dance the rabong.
manong ko isuna.,he is my older brother.
mo,your
siasino ti mayat a mangidaulonto ti panaglualo?,who wants to lead the game?
agyamannak unay ti tulongyo.,i thank your help very much.
maragsakannak met ti panagboluntarioyo.,i am also happy with your volunteerism.
nasustansya a taraon,nutritious food
"kanayon nga aggigiddan kami a mangan, dakami ket pamilia.","we always eat together, we are a family."
gatas ti ina,mother's milk
nagita ti gatas,creamy milk
nagita a kagat,creamy bite
kagat ti aso,dog bite
diay aloh,at the river
masikog nga ina,pregnant mother
patang,sentence
nagalis idiay alog.,it is slippery at the river.
adu ti lamok idiay alog.,there are many mosquitoes at the river.
nasustansia ti gatas ti ina.,mother's milk is nutritious.
nagasat idiay maskog nga ina.,the pregnan mother is lucky.
"panangaywan iti tunggal maysa, pagtaengan ken aglawlaw","caring for oneself, home, and environment"
adalen ti ladawan.,study the picture.
isurat ti tsek iti uged no umno ti ibagbaga ti patang ken no saan.,write a check on the line if the statement is correct and if it is wrong.
timbukelan ti kusto a lokasion.,circle the correct location.
isurat ti lokasyon.,write the location.
ikkan ti tsek no ti ladawan ket makita iti uneg ti pagadalan. ikkan ti ekis no saan.,check if the object is found inside the classroom. cross if not.
sungbatan dagiti sumaganad a saludsod. pilien iti sarita... nga mangibaga ti lokasion.,answer the following questions. choose the word... that tells the location.
basaen dagiti sumaganad:,read the following:
ti mapa ket maysa a ladawan a mangipakpakita ti pakabuklan ti maysa a lugar.,a map is a picture that shows the layout of a place.
mangipakita ti kaasideg wenno kaadayo,mangipakita ti kaasideg wenno kaadayo
ti pisara ket masarakan ti sango ti silid-pagadalan.,the blackboard is found at the front of the classroom.
makita dagiti tugaw iti likod ti silid-pagadalan.,the chairs are seen at the back of the classroom.
adda iti kannawan dagiti tugaw ti bulletin board.,the bulletin board is on the right side of the chairs.
ti tawa ket makita iti laud ti silid-pagadalan.,the window is seen on the west side of the classroom.
masarakan ti kabinet iti amianan ti lamisaan.,the cabinet can be found north of the table.
ti ceiling fan ket adda iti nagbaetan ti dua a silaw.,the ceiling fan is between two lights.
lamisaan ti manursuro,teacher's table
nakamasitera a mula,potted plant
silid-pagbasaan,reading corner
nasayaat met nga maammuan...,it is also good to know...
nasken met a maammuan no sadino ti pakasarakan...,it is also necessary to know where to find...
babaen ti panagadal ti distansia ken direksion ket nalaklaka a matarusan ti mapa.,"by studying distance and direction, the map becomes easier to interpret."
kitaen ti lokasion dagiti arwaten ti silid-pagadalan.,look at the location of the parts of the classroom.
galut a lanut,galut a lanut
uggot ti karabasa,stalk of a pumpkin
mulagat a mata,open eyes
nangalaak ti uggot ti unas karabasa.,i got the stalk of a pumpkin
nagsugotak ti unas.,i planted the sugarcane.
malasin ko ti tugot ti tukak.,i can see the tracks of a frog.
ayanna diay galut a lanut?,where is the tied rope?
kinadalus ti bagi,cleanliness of the body
pagannurutan: biruken ti kaaweng dagiti naisurat a balikas.,instruction: find the rhyming words.
ikkan ti tsek no dagiti balikas ket agpada ti uni ti ungtoda ken ekis no saan.,put a check if the words have the same ending sound and cross if not.
denggen ti daniw.,listen to the poem.
pilien dagiti balikas nga agpada ti uni ti pungtona.,choose the words that have the same ending sound.
mangisurat iti balikas nga kapada ti uni ti pungtona...,write a word that has the same ending sound as...
agkakaaweng a balikas,rhyming words
makaay-ayo a dengan,pleasant to listen to
"pito, walo... mangantayo ti adobo.","seven, eight... let's eat adobo."
adda mulak a marunggay,i have a malunggay tree
igid ti dalan,roadside
tukad ti agdan,step of the stairs
nasuyod a daga,harrowed soil
idi nagtudo,when it rained
nalinis a danum,clean water
madi nag guyod,did not pull
nagmulada idi nagtudo.,they planted when it rained.
adu ti tukad ti agdan.,the stairs have many steps.
nalinisan diay nasuyod a daga.,the harrowed land was cleaned.
pakasaritaan ti komunidad,community stories
pilien ti epekto dagiti sumaganad a gapu.,choose the effect of the following causes.
pilien ti poset ti patang a mangipakpakita ti epekto.,choose the part of the sentence that shows the effect.
isurat ti gapu ken epekto.,write the cause and effect.
ibaga ti problema wenno solusion ti uneg ti istoria.,tell the problem or solution in the story.
ibaga iti problema ken solusion ti istoria.,state the problem and solution of the story.
denggen ti istoria. sungbatan dagiti saludsod.,listen to the story. answer the questions.
isu daytoy ti nagrugian wenno naggapuan ti maysa a situasion.,this is the origin or source of a situation.
isu ti resulta wenno nagbanagan ti maysa a situasion.,this is the result or consequence of a situation.
masapul a maikkan iti solusion.,needs to be given a solution.
ti nakaited ti sungbat wenno nakaresolba ti problema.,what provided the answer or resolved the problem.
"ribrib dagiti ngipen ni perla, ngamin narawet isuna ti sinam-it.",perla's teeth are rotten because she always eats sweets.
"nagadal a nalding ni mona, isunga nangato ti naalana iti eksamin.","mona studied hard, so she got a high score on the exam."
daras isuna nga napan idiay siled pagadaland.,"immediately, he went to their classroom."
napigsa a tudo,heavy rain
narawet ti sinam-it,always eating sweets
nagadal a nalding,studied hard
kinaadu ti tao,large crowd of people
inigganak diay napudot a paryok,i held the hot pot
saanak a nagarmusar,i didn't eat breakfast
nakaawatak ti sagut,i received a gift
nabaddekak iti saka ti aso,i stepped on the foot of the dog
nalipatak a inserra ti kulungan,i forgot to close the cage
natukkol ti lapis,the pencil the broke
awan ti mabulodna,he had no pencil to borrow
nadungparna ti kaklasena,he bumped into his classmate
naudi ti klase,was late for class
nangan ti kendi,ate the candy
nagadu ti ginatangna,she brought too many
ribrib dagiti ngipen,teeth are rotten
nangato ti naala,got a high score
nasinit ti imak,my hand got burned
nakabulos ti manok,the chicken escaped
simmakit ti ngipenna,his tooth ached
nababa ti naala,got a low score
inayabanna ni maestrada,he called his teacher
binulodna ti pantasa,he borrowed the sharpener
dimmawat iti dispensa,asked for forgiveness
inay-ayat ti kaaduan,was loved by many
inlutuan ti lugaw,cooked porridge
pinainom iti agas,gave medicine to drink
tinulungan a nagawit,helped carry
dimmawat ti tulong ti pulis,accepted help from the police
binulodna ti pantasa ti kaklasena,borrowed his classmate's sharpener
dimmawat iti dispensa ken tinulungan a timmakder,apologized and helped him stand up
imbagana nga isuna ti nakabuong,she confessed that she was the one who broke it
inayaban ni nanangna,called his
kinamatna ti kalding,he ran after the goat
ingalot idiay poon,tied it to the tree trunk
tinulungan a mangan,helped to eat
sinabat ken tinulungan a nagawit,met and helped carry
tiempo ti nepnep,cold weather
sultip ti pulos,police whistle
kasla puso a puto,like a heart-shaped rice cake
napigsa diay sultip ti pulis.,the police whistle is loud.
kayatko ti kasla puso a puto.,i like the heart-shaped rice cake.
nalinis ti panio ti padi.,the priest's handkerchief is clean.
tattao,people
isurat ti letra ti umno a sungbat.,write the letter of the correct answer.
ipares ti balikas iti ladawanna babaen ti uged.,match the word to its picture with a line.
panunoten ken adalen,think and study
isurat ti letra ti ladawan a mangrugi ti letra...,write the letter of the picture that starts with the letter...
ipares ti prase iti ladawanna.,match the phrase to its picture.
matmatan dagiti ladawan.,observe the pictures.
ipares ti ladawan iti naganna.,match the picture to its name.
istoriaem ti istoria a nabasa.,retell the story that was read.
idrowing iti parte ti istoria a kaykayatmo.,draw the part of the story that you like.
mangaramid iti video nga agis-istoria.,make a video telling the story.
napateg a pasamak,important events
kangrunaan a kapanunutan,main idea
maysa a bigat ti domingo.,one sunday morning.
nasapa a nagring dagiti agkabsat.,the siblings woke up early.
napan da bisitaen da lolong ken lelang da.,they went to visit their grandfather and grandmother.
idiay balayda idiay igid ti bantay.,at their house at the edge of the mountain.
nagluto ni loleng ti pammigat da a dinengdeng idiay banga.,"loleng cooked their breakfast, a dinengdeng [vegetable stew] in a pot."
nangala ni carding iti sabong ti gumamela nga insagot na kenni lelangna.,carding got a gumamela flower and offered it to his grandmother.
magagaran da unayen a mapan.,they were very eager to go.
ti pagaddian,the school
naanus ken naayat nga maestra.,a patient and kind teacher.
sangapulo a lamisaan para iti sangapulo nga ubbing.,ten tables for ten children.
nakasab-it idiay diding.,hung on the wall.
agayayam ti sango ti pagaddian.,they play in front of the school.
no kasta a madanon ti recess.,when recess arrives.
"iti malem, agbasa ni maestro iti istoria.","in the afternoon, the teacher reads a story."
naragsak dagiti ubbing nga dumdumngeg.,the children are happy listening.
"kalpasan daytoy, oras ti panagawiden.","after this, it's time to go home."
ti kuton,the ant
ti kuton ket babassit nga insekto.,the ant is a small insect.
nu magnada ket ariddog a linya.,"when they walk, it's in a long line."
nu maminsan agkarayamda iti saka ken ima.,sometimes they play on the foot and hand.
saan ko kayat a makasaideg ti kuton kaniak.,i don't want the ant to get near me.
nangato a bantay,tall
napigsa nga ngiwat,strong mouth
ngarab ti banga,the pot is boiling
maysa nga ngilaw,one light
labba ken bigao,basket and winnowing basket
kalbo a bantay,bald mountain
kubbo a baket,hut of the old woman
nabittak a lobo,cracked balloon
kinalbo dagiti agum-uma ti bantay.,the farmers denuded the mountain.
adda bassit a billit iti baki.,there is a small bird on the grandfather.
nabittak ti lobo ti kubbo a baket.,the balloon of the old woman in the hut cracked.
aglaklako ni ben ti labba ken bigao.,ben sells baskets and winnowing baskets.
napunno ti bado iti batia.,the clothes filled the tub.
nangina ti bayad ti bassit a pag-ong.,the price of the small turtle is high.
nabanglo dagiti sabong nga indatonna.,the flowers he offered were fragrant.
nasugat ti tanganko ti buneng a natadem.,my arm was wounded by the sharpened bolo.
nagngalngal ti nana ti bulong ti nganga.,nana chewed the leaf in her mouth.
mayat ti mangan idiay ngato ti bantay.,it's nice to eat on top of the mountain.
singsing a balitok ti maysa a sagutna idi kasangayna.,a gold ring was one of her gifts on her birthday.
personal pronouns,personal pronouns
isu’t nangisuro iti gayyemna.,he is the one who taught his friend.
dakami’t nagmula dayta kayo.,we are the ones who planted that tree.
datayo’t agmula.,we will plant.
dakami’t aglako.,we will sell.
isu’t maestro.,he is the teacher.
sika’t agpabpabasol.,you are the one who is blaming.
isuna’t anakko.,he is my child.
dakayo’t agbasa.,you will read.
isu’t agsursurat.,he is writing.
dakami’t agbasbasa.,we are reading.
dakayo’t aglanglangoy.,you are swimming.
isu’t aglutluto.,he is cooking.
